year,10-year_MA,data
1759,8.030001,global
1760,7.8770003,global
1761,7.956,global
1762,8.239,global
1763,8.15,global
1764,8.143,global
1765,8.132,global
1766,8.088,global
1767,8.008,global
1768,8.011999,global
1769,7.982,global
1770,8.032001,global
1771,7.94,global
1772,7.898,global
1773,7.97,global
1774,8.006999,global
1775,8.1,global
1776,8.089,global
1777,8.093,global
1778,8.269,global
1779,8.398,global
1780,8.572,global
1781,8.597,global
1782,8.568001,global
1783,8.514001,global
1784,8.423,global
1785,8.241,global
1786,8.237,global
1787,8.214001,global
1788,8.205,global
1789,8.14,global
1790,7.9950004,global
1791,8.008,global
1792,8.027,global
1793,8.081999,global
1794,8.148999,global
1795,8.247999,global
1796,8.249001,global
1797,8.296999,global
1798,8.318999,global
1799,8.337,global
1800,8.386999,global
1801,8.422999,global
1802,8.472,global
1803,8.499001,global
1804,8.530001,global
1805,8.551,global
1806,8.566999,global
1807,8.544001,global
1808,8.440001,global
1809,8.297,global
1810,8.141001,global
1811,7.968,global
1812,7.815,global
1813,7.739,global
1814,7.614,global
1815,7.482,global
1816,7.333,global
1817,7.2030005,global
1818,7.2230005,global
1819,7.2520003,global
1820,7.322,global
1821,7.4449997,global
1822,7.5589995,global
1823,7.557,global
1824,7.653,global
1825,7.768,global
1826,7.91,global
1827,8.092999,global
1828,8.127,global
1829,8.184,global
1830,8.274,global
1831,8.229001,global
1832,8.155,global
1833,8.184,global
1834,8.144,global
1835,8.044001,global
1836,7.9779997,global
1837,7.835,global
1838,7.769,global
1839,7.738,global
1840,7.6660004,global
1841,7.6710005,global
1842,7.7279997,global
1843,7.7439995,global
1844,7.6940002,global
1845,7.7400002,global
1846,7.825,global
1847,7.896001,global
1848,7.943,global
1849,7.9780006,global
1850,7.9880004,global
1851,8.037001,global
1852,8.045,global
1853,8.032,global
1854,8.088,global
1855,8.114,global
1856,8.059,global
1857,8.026,global
1858,8.038,global
1859,8.065001,global
1860,8.071,global
1861,8.038,global
1862,7.9839997,global
1863,7.9909997,global
1864,7.968,global
1865,7.975,global
1866,8.004,global
1867,8.0720005,global
1868,8.087,global
1869,8.1050005,global
1870,8.129,global
1871,8.156,global
1872,8.219,global
1873,8.243,global
1874,8.288,global
1875,8.256,global
1876,8.235,global
1877,8.245001,global
1878,8.303,global
1879,8.277,global
1880,8.269,global
1881,8.284001,global
1882,8.278001,global
1883,8.240999,global
1884,8.174999,global
1885,8.181,global
1886,8.167999,global
1887,8.1050005,global
1888,8.031,global
1889,8.046,global
